Index,SeriesName,SeriesCode,CountryName,CountryCode,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
93,GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,1.378361365,1.581395403,1.825665113,1.998335215,2.134711796,2.308800482,2.423846203,2.542486528,2.53489828
94,GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,13.89516257,13.92634731,15.12078189,15.71353697,13.77460527,14.31579289,15.68222145,17.85827998,17.82889466
95,GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,7.67483535,7.950695378,7.931080476,7.68625603,7.644548657,7.629891117,7.801178658,8.024803271,7.583694722
96,GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1.308690069,1.253696204,1.193713255,1.223333034,1.152139829,1.043569791,1.150079174,1.221883763,1.118131284
97,GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,0.596897081,0.657936256,0.721930055,0.721182795,0.710383858,0.714623392,0.698701764,0.677322179,0.621892954
98,GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,5.554179164,13.02528139,10.36378949,6.46691027,4.337919139,4.035194316,5.75669845,7.877122251,7.685949267
99,GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,14.39253426,14.37306052,15.72662683,16.56495655,14.25822933,14.99812506,16.88540739,19.17617652,19.60189083
100,GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,115.7615077,106.7490136,113.6251329,118.8236484,101.3764966,104.278391,107.627151,116.6542611,114.7045942
101,GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,66.64438534,76.29184749,89.28745402,93.7771068,75.34098698,74.06108603,81.51667492,87.20853591,84.09639631
102,GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,0.531265572,0.518152954,0.5410662,0.530861346,0.467235399,0.475955417,0.515292725,0.527501326,0.523359065
103,GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,0.534951265,0.391561832,0.34843027,0.37126975,0.380597033,0.315777326,0.356717573,0.381258988,0.41155234
104,GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,10.39937275,10.81744287,10.97012328,11.31907976,9.955243708,9.817738457,10.25918178,11.377455,11.41420698
105,GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,7.29142764,7.265613656,7.928457365,8.499365756,9.033439867,9.209244727,9.577625194,10.27693282,10.6265134
106,GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,0.837603441,0.778619286,0.805032838,0.848274054,0.751474789,0.780718599,0.830018367,0.894802187,0.87900801
107,GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,23.15555477,22.52763686,24.77107668,26.75426859,24.92160357,25.61782691,28.09186165,30.43722151,29.82060325
108,GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1.879771427,1.815219429,1.892095487,1.677108166,1.524072883,1.53685415,1.578114174,1.600876469,1.679444873
109,GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,9.197026972,9.291227619,9.63700265,10.15393822,9.260447303,9.681618567,10.48490836,11.20834382,11.09924028
110,GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,10.20342085,10.24172792,10.72518332,10.92891683,9.616645006,8.744515772,9.287849736,9.686513783,9.946033829
111,GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,2.942255949,3.045739874,3.322038436,3.328801449,2.732457113,2.880439281,3.50969345,4.233743437,4.503516985
112,GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,3.757558633,4.35188692,4.366075901,4.158525715,3.918579174,3.660150746,3.66941754,4.134987198,4.339843279
113,GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,7.329026063,6.586456756,7.186819262,7.378044404,6.514569188,7.028663454,7.784087912,8.846056525,8.908934792
114,GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3.046949136,2.912658275,3.121681176,3.171699192,2.875257985,2.896720003,3.036325255,3.222200634,3.204095003
115,GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,0.594586467,0.657645338,0.664078212,0.673969956,0.589859028,0.428926488,0.461415094,0.503318727,0.503570773
116,GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1.176242453,1.165794329,1.16233144,1.251820765,1.287430487,1.266546338,1.291542413,1.418177623,1.407813143
117,GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,5.72332549,5.942218604,5.377727318,5.43517196,4.869378373,4.523091281,5.303309171,5.495428925,4.957458222
